step	dice_multi
0	0.49585531687621776
1	0.49585531687621776
2	0.8733698711894475
3	0.8673045370132083
4	0.9020430989733476
5	0.8979095320085648
6	0.9081382735662404
7	0.9063738331291962
8	0.9067794072364788
